,Shinjuku,"Meijijingumae,Harajuku",Shibuya,Meguro,Shinbashi,Tokyo,Kanda,Akihabara,Ueno,Nishinippori,Komagome,Ikebukuro,Tkadanobaba,Nakano,Yotsuya,Ichigaya,Iidabashi,Ochanomizu,Kinshityo,Omotesando,Aoyamaittyome,Aksakamitsuke,Tameikesanno,Ginza,Nihonbashi,Mitsukoshimae,Kourakuen,Ootemachi,Kasumigaseki,Shinjukusanchome,Hibiya,Kayabamachi,Kitasenju,Kudanshita,Nihonbashi,Yurakucho,Nagatacho,Toudaimae
Shinjuku,"[0,0]","[1,4]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[1,4]","[2,5]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[5,1]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
"Meijijingumae,Harajuku","[1,4]","[0,0]","[1,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[8,4]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[12,11]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Shibuya,"[0,0]","[1,2]","[0,0]","[1,5]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[4,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Meguro,"[0,0]","[0,0]","[1,5]","[0,0]","[1,15]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[11,11]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Shinbashi,"[0,0]","[0,0]","[0,0]","[1,15]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[4,4]","[4,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[1,2]","[0,0]","[0,0]"
Tokyo,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[1,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[5,2]","[0,0]","[0,0]","[0,0]","[5,1]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[1,2]","[0,0]","[0,0]"
Kanda,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[1,2]","[0,0]","[1,2]","[4,5]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[2,2]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Akihabara,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[1,2]","[0,0]","[1,3]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[2,2]","[3,6]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[6,5]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Ueno,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[4,5]","[1,3]","[0,0]","[1,5]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[6,9]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
Nishinippori,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[1,5]","[0,0]","[1,4]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[8,10]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
