ノ�ド番号(Alphabet),y,x
Shinjuku,0,0
"Meijijingumae,Harajuku",-213.015,30.83
Shibuya,-324.04,10.76
Meguro,-569,156
Shinbashi,-450,593.82
Tokyo,-150,680
Kanda,7.69,706.25
Akihabara,77.62,739.61
Ueno,228.47,769.96
Nishinippori,412.14,665.29
Komagome,455.68,466.17
Ikebukuro,380.05,101.22
Tkadanobaba,213.64,35.24
Nakano,151.11,-50
Yotsuya,-49.07,304.09
Ichigaya,0.87,353.27
Iidabashi,111.44,447.57
Ochanomizu,89.34,635.28
Kinshityo,55.16,850
Omotesando,-256.74,120.56
Aoyamaittyome,-181.56,239.01
Aksakamitsuke,-139,367.89
Tameikesanno,-280,411.61
Ginza,-320,550
Nihonbashi,-150,736.61
Mitsukoshimae,-60.33,729.03
Kourakuen,164.16,509.42
Ootemachi,-61.2,658.28
Kasumigaseki,-170.83,506.41
Shinjukusanchome,-3.05,60.13
Hibiya,-158.07,595.07
Kayabamachi,-200,840
Kitasenju,400,850
Kudanshita,46.68,516.9
Yurakucho,-200,660
Nagatacho,-60,460
Toudaimae,267.12,577.67
